username,week,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
學生1,1,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
學生1,2,B1,P1,B1,P1,B1,P1,B1,P1,B1,P1,B1,P1,B1,P1,B1,P1,B1,P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
學生1,3,B1,P1,B1,P1,B1,P1,B1,P1,R1,B1,R1,B1,R1,B1,R1,P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
學生1,4,B1,P1,B1,P1,B1,P1,B1,P1,B1,P1,B1,P1,B1,P1,B1,P1,B1,P1,R1,B1,R1,B1,R1,B1,R1,B1,R1,B1,R1,B1,R1,B1,R1,B1,R1,B1,R1,B1,R1,,,,,,,,,,,,,
學生1,5,B1,P1,B1,P1,B1,P1,B1,P1,B1,P1,B1,P1,B1,P1,B1,P1,B1,P1,B1,P1,B1,P1,B1,P1,B1,P1,B1,P1,B1,P1,,,,,,,,,,,,,,,,,,,,,,
學生1,6,P1,B1,P1,B1,P1,B1,P1,B1,P1,B1,P1,B1,P1,B1,P1,B1,P1,B1,P1,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
學生1,7,B1,P1,B1,P1,B1,P1,B1,P1,B1,P1,B1,P1,B1,P1,B1,P1,B1,P1,B1,R1,B1,R1,B1,R1,B1,R1,B1,R1,B1,R1,B1,R1,B1,R1,B1,R1,B1,R1,,,,,,,,,,,,,,
