username,weeks,class,length,notebook_open,code_speed,Execution,copy_paste,empty
109408546,2,1,86,12,44,31,11,0
109408546,3,0,179,10,40,28,21,0
109408546,4,0,133,4,35,34,25,0
109408546,5,1,89,12,34,19,33,0
109408546,6,0,242,8,41,23,26,0
109408546,7,0,172,8,38,26,26,0
109409017,1,-1,1,0,0,0,0,100
109409017,2,1,111,12,42,30,14,0
109409017,3,0,190,11,45,24,18,0
109409017,4,-1,1,0,0,0,0,100
109409017,5,0,156,16,41,19,23,0
109409017,6,0,318,14,41,18,25,0
109409017,7,0,428,7,41,28,22,0
109503526,1,1,3,66,33,0,0,0
109503526,2,0,131,15,41,19,23,0
109503526,3,0,296,6,44,19,29,0
109503526,4,0,189,5,37,20,36,0
109503526,5,1,93,8,44,25,21,0
109503526,6,0,228,4,42,20,31,0
109503526,7,0,581,5,39,25,29,0
109605514,1,-1,1,0,0,0,0,100
109605514,2,0,180,12,44,17,25,0
109605514,3,0,376,6,40,19,34,0
109605514,4,1,39,2,46,15,35,0
109605514,5,0,267,5,44,33,16,0
109605514,6,1,114,7,43,14,34,0
109605514,7,0,989,5,39,21,32,0
110102010,1,1,4,50,50,0,0,0
110102010,2,0,157,14,43,28,14,0
110102010,3,0,443,10,43,17,28,0
110102010,4,-1,1,0,0,0,0,100
110102010,5,0,207,11,42,16,28,0
110102010,6,0,176,10,42,22,25,0
110102010,7,0,170,12,41,17,28,0
110102527,1,-1,1,100,0,0,0,0
110102527,2,0,286,11,42,33,12,0
110102527,3,0,216,11,45,26,16,0
110102527,4,1,19,10,42,42,5,0
110102527,5,1,84,11,46,26,15,0
110102527,6,0,171,15,45,15,23,0
110102527,7,1,70,21,45,15,17,0
110102528,1,1,8,25,50,25,0,0
110102528,2,0,278,6,46,36,10,0
110102528,3,0,222,9,42,31,16,0
110102528,4,-1,1,100,0,0,0,0
110102528,5,0,272,6,37,30,25,0
110102528,6,0,265,7,43,24,24,0
110102528,7,0,263,5,36,25,31,0
110401055,1,1,11,27,45,27,0,0
110401055,2,1,85,11,43,17,27,0
110401055,3,0,151,18,43,22,15,0
110401055,4,-1,1,0,0,0,0,100
110401055,5,0,193,10,41,25,21,0
110401055,6,0,189,13,43,23,20,0
110401055,7,0,385,6,41,31,21,0
110401059,1,-1,1,0,0,0,0,100
110401059,2,0,157,18,43,26,11,0
110401059,3,1,116,10,43,37,8,0
110401059,4,1,4,50,50,0,0,0
110401059,5,0,203,11,43,26,18,0
110401059,6,0,138,17,44,21,15,0
110401059,7,0,226,11,41,22,24,0
110409529,1,1,6,50,50,0,0,0
110409529,2,0,266,10,45,22,21,0
110409529,3,0,242,10,44,22,22,0
110409529,4,1,3,66,33,0,0,0
110409529,5,0,193,8,41,26,23,0
110409529,6,0,292,6,42,26,24,0
110409529,7,0,1347,3,43,30,21,0
110409537,1,1,7,57,42,0,0,0
110409537,2,-1,1,0,0,0,0,100
110409537,3,-1,1,0,0,0,0,100
110409537,4,-1,1,0,0,0,0,100
110409537,5,-1,1,0,0,0,0,100
110409537,6,-1,1,0,0,0,0,100
110409537,7,-1,1,0,0,0,0,100
110801005,1,1,28,17,50,10,21,0
110801005,2,1,104,11,43,15,29,0
110801005,3,0,247,10,42,23,23,0
110801005,4,-1,1,0,0,0,0,100
110801005,5,0,196,8,39,22,28,0
110801005,6,0,229,7,41,19,31,0
110801005,7,0,488,9,42,26,21,0
110801509,1,1,6,33,50,16,0,0
110801509,2,0,259,14,43,26,15,0
110801509,3,0,306,16,45,21,16,0
110801509,4,-1,1,0,0,0,0,100
110801509,5,0,211,9,40,25,24,0
110801509,6,0,332,9,42,25,22,0
110801509,7,0,867,8,38,25,27,0
110821010,1,1,16,31,43,12,12,0
110821010,2,0,151,13,44,25,15,0
110821010,3,0,152,19,45,19,15,0
110821010,4,1,30,20,43,20,16,0
110821010,5,0,397,6,38,25,29,0
110821010,6,0,150,19,43,17,20,0
110821010,7,1,91,16,40,18,24,0
111101021,1,1,5,60,40,0,0,0
111101021,2,1,36,11,47,36,5,0
111101021,3,-1,1,0,0,0,0,100
111101021,4,-1,1,0,0,0,0,100
111101021,5,1,55,12,40,16,30,0
111101021,6,0,133,15,45,17,21,0
111101021,7,1,122,9,45,35,10,0
111108001,1,1,7,28,42,28,0,0
111108001,2,0,185,10,46,29,12,0
111108001,3,0,237,12,45,30,11,0
111108001,4,0,225,5,45,26,22,0
111108001,5,0,245,13,43,23,19,0
111108001,6,0,178,10,43,19,26,0
111108001,7,0,415,6,41,30,21,0
111408010,1,1,3,66,33,0,0,0
111408010,2,1,97,31,44,15,8,0
111408010,3,0,176,14,39,24,21,0
111408010,4,1,4,50,50,0,0,0
111408010,5,1,116,23,43,15,18,0
111408010,6,0,189,17,41,14,25,0
111408010,7,0,203,8,41,29,20,0
111409523,1,1,4,50,50,0,0,0
111409523,2,1,55,20,40,12,27,0
111409523,3,0,158,10,41,24,23,0
111409523,4,1,13,30,46,0,23,0
111409523,5,1,82,14,35,20,29,0
111409523,6,1,119,13,42,19,24,0
111409523,7,0,137,11,40,20,27,0
111409524,1,1,27,29,48,18,3,0
111409524,2,1,119,12,42,15,29,0
111409524,3,0,229,7,41,22,29,0
111409524,4,1,89,11,40,14,33,0
111409524,5,0,296,9,36,22,31,0
111409524,6,0,301,6,39,21,31,0
111409524,7,1,27,37,40,0,22,0
